AlbumId,AlbumName,ReleaseDate,ArtistId,GenreID
1,Powerslave,09/03/1984 00:00,3,1
2,Powerage,05/05/1978 00:00,1,1
3,Crimes of Passion,08/05/1980 00:00,5,1
4,Bitches Brew,3/30/1970 0:00:00,4,3
5,Kind of Blue,8/17/1959 0:00:00,4,3
6,Couldn't Stand the Weather,5/15/1984 0:00:00,6,4
7,Somewhere in Time,9/29/1986 0:00:00,3,1
8,Piece of Mind,5/16/1983 0:00:00,3,1
9,Killers,02/02/1981 00:00,3,1
10,No Prayer for the Dying,10/01/1990 00:00,3,1
11,Texas Flood,6/13/1983 0:00:00,6,4
12,Snoopified,9/28/2005 0:00:00,9,5
13,Tha Doggfather,11/12/1996 00:00,9,5